Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0372200084221000037;Электронный аукцион;Поставка продукции судостроительной промышленности – маломерного спасательного судна с прицепом для обеспечения деятельности Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;'212780548181478050100102670013012244';;;7802533.34;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";23.04.2021;12.05.2021;Определение поставщика завершено;;23.04.2021;04.05.2021;
44-ФЗ;№0372200084221000034;Электронный аукцион;Поставка продукции судостроительной промышленности – маломерного спасательного судна с прицепом для обеспечения деятельности Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;'212780548181478050100102660013012244';;;4487793.34;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";23.04.2021;11.05.2021;Определение поставщика завершено;;23.04.2021;05.05.2021;
44-ФЗ;№0372200084223000012;Электронный аукцион;Поставка продукции судостроительной промышленности – спасательного маломерного моторного судна с прицепом для обеспечения деятельности Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;'232780548181478050100101350013012244';;;12 000 000,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";10.02.2023;20.02.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;10.02.2023;20.02.2023;
44-ФЗ;№0372200084222000107;Электронный аукцион;Поставка продукции судостроительной промышленности – судна особой конструкции на воздушной подушке с прицепом и оборудованием для обеспечения деятельности санкт-петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;'222780548181478050100101770013012244';;;13 199 500,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";12.10.2022;24.10.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;20.10.2022;
44-ФЗ;№0372200084221000120;Электронный аукцион;Поставка продукции судостроительной промышленности – судна особой конструкции на воздушной подушке с прицепом и оборудованием для обеспечения деятельности Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга».;;'212780548181478050100103420013012244';;;10 423 750,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";26.11.2021;07.12.2021;Определение поставщика завершено;;26.11.2021;06.12.2021;
44-ФЗ;№0372200084220000129;Электронный аукцион;Поставка продукции судостроительной промышленности – судна особой конструкции с прицепом для обеспечения деятельности Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;'202780548181478050100102670013012244';;;8 561 400,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";16.11.2020;25.11.2020;Определение поставщика завершено;;16.11.2020;24.11.2020;
44-ФЗ;№0325300050220000020;Электронный аукцион;Поставка речного парома;;'203300400250130250100100080023011244';;;4101108.67;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";10.06.2020;02.07.2020;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;10.06.2020;29.06.2020;
44-ФЗ;№0325300050220000015;Электронный аукцион;Поставка речного парома;;'203300400250130250100100080013011244';;;4101108.67;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";21.04.2020;02.06.2020;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;21.04.2020;14.05.2020;
44-ФЗ;№0136300022922000010;Электронный аукцион;Поставка речного пассажирского судна на воздушной подушке проекта Nep23. модель Нептун 23 с двигателями Cummns ISF 2.8 (либо аналог) в количестве 2 единиц с рассрочкой платежа;;'223691300667769130100100250013011244';;;40 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ СОЛНЕЧНЫЙ;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ СОЛНЕЧНЫЙ;09.12.2022;22.12.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;22.12.2022;
44-ФЗ;№0173200001419001717;Открытый конкурс в электронной форме;Поставка речных судов для пассажирских перевозок для нужд ГУП «Мосгортранс»;;'192770500260277050100104310010000000';;;1031622550.27;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;13.11.2019;25.12.2020;Определение поставщика отменено;;13.11.2019;30.06.2021;
44-ФЗ;№0507600003218000006;Электронный аукцион;Поставка самоходного грузопассажирского парома;;'183110143088311010100100120010000000';;;19 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ""СЫКТЫВКАР""""ЖИЛКОМСЕРВИС""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ""СЫКТЫВКАР""""ЖИЛКОМСЕРВИС""";06.04.2018;22.02.2019;Определение поставщика завершено;;06.04.2018;23.04.2018;
44-ФЗ;№0101500000320001064;Электронный аукцион;Поставка самоходного и несамоходного судна;;'202027807443902720100101180013012244';;;10470072.66;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА РЕСПУБЛИКИ БАШКОРТОСТАН;ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ БАШКОРТОСТАН ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;30.06.2020;08.07.2020;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;30.06.2020;08.07.2020;
44-ФЗ;№0157300021021000237;Электронный аукцион;Поставка самоходного парома (идентификационный номер: 155-А-МЗ-17);;'213601500144960150100100980013011244';;;38 600 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ ПЕЧОРСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ПЕЧОРСКОГО РАЙОНА;09.09.2021;20.09.2021;Определение поставщика завершено;Участникам. заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;09.09.2021;20.09.2021;
44-ФЗ;№0101200008618000017;Электронный аукцион;Поставка самоходного парома для перевозки пассажиров и транспортных средств;;'183023900461402390100100260353011244';;;3 489 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА НУРИМАНОВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА НУРИМАНОВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;06.07.2018;08.08.2018;Определение поставщика завершено;;06.07.2018;23.07.2018;
44-ФЗ;№0338300042916000002;Электронный аукцион;Поставка самоходного судна на воздушной подушке;;;;;3914333.34;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";АДМИНИСТРАЦИЯ ПЕНЖИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;Администрация Пенжинского муниципального района;02.03.2016;21.03.2016;Определение поставщика завершено;;02.03.2016;18.03.2016;
44-ФЗ;№0138200003116000003;Электронный аукцион;Поставка самоходной баржи с аппарелью грузоподъемностью до 20 тонн.;;;;;27 000 000,00;RUB;;;;;30.11.24.119: Суда сухогрузные морские прочие;30.11.24.119: Суда сухогрузные морские прочие;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;29.02.2016;16.03.2016;Определение поставщика завершено;;29.02.2016;15.03.2016;
44-ФЗ;№0138200003116000004;Электронный аукцион;Поставка самоходной баржи с аппарелью грузоподъемностью до 40 тонн.;;;;;42 000 000,00;RUB;;;;;30.11.24.119: Суда сухогрузные морские прочие;30.11.24.119: Суда сухогрузные морские прочие;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;29.02.2016;16.03.2016;Определение поставщика завершено;;29.02.2016;15.03.2016;
223-ФЗ;№31603381603;Закупка у единственного поставщика (подрядчика. исполнителя);Поставка скоростного амфибийного судна на воздушной подушке в количестве 2 единицы;;;1;Поставка скоростных амфибийных судов на воздушной подушке (РРР);20 000 000,00;RUB;;;;;30.11.2: Суда и аналогичные плавучие средства для перевозки людей или грузов;30.11.2: Суда и аналогичные плавучие средства для перевозки людей или грузов;"Общество с ограниченной ответственностью ""Самарское речное пассажирское предприятие""";;02.03.2016;02.03.2016;Закупка завершена;;02.03.2016;;
223-ФЗ;№31907703201;Прочие;Поставка служебно-разъездного судна (в комплекте) для нужд ФБУ «Администрация Амурводпуть»;;;1;"Поставка служебно-разъездного судна (комплект) для нужд ФБУ ""Администрация Амурводпуть""";2456333.34;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;;29.03.2019;29.03.2019;Закупка завершена;;29.03.2019;08.04.2019;
44-ФЗ;№0848300064120000338;Электронный аукцион;Поставка спасательного амфибийного судна;;'203500106919550010100100960013011244';;;519 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА БАЛАШИХА ""ЦЕНТР ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ  И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДСКОГО ОКРУГА БАЛАШИХА""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО ОРГАНИЗАЦИИ ЗАКУПОК ГОРОДСКОГО ОКРУГА БАЛАШИХА""";13.07.2020;28.07.2020;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;13.07.2020;21.07.2020;
44-ФЗ;№0372200084214000053;Электронный аукцион;Поставка спасательной моторной лодки для обеспечения деятельности подразделений Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга»;;;;;1845196.33;RUB;;;;;;;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"Санкт-Петербургское государственное казенное учреждение ""Поисково-спасательная служба Санкт-Петербурга""";10.07.2014;05.01.2015;Определение поставщика завершено;"Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ); Участникам. привлекающим Субъекты малого предпринимательства в качестве соисполнителей. субподрядчиков для исполнения контракта. и участникам. привлекающим Социально ориентированные некоммерческие организации в качестве соисполнителей. субподрядчиков для исполнения контракта (в соответствии со статьей 30 Федерального закона № 44-ФЗ)";10.07.2014;18.07.2014;
44-ФЗ;№0372200084214000116;Электронный аукцион;Поставка спасательной моторной лодки для обеспечения деятельности подразделений Санкт-Петербургского государственного казенного учреждения «Поисково-спасательная служба Санкт-Петербурга».;;;;;2 009 465,00;RUB;;;;;;;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА САНКТ-ПЕТЕРБУРГА""";"Санкт-Петербургское государственное казенное учреждение ""Поисково-спасательная служба Санкт-Петербурга""";16.11.2014;05.01.2015;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);16.11.2014;24.11.2014;
44-ФЗ;№0851300003919000013;Электронный аукцион;Поставка специального маломерного судна -  аэробот;;'193540673744354060100100220010000244';;;2 800 000,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""СЛУЖБА АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ И ГРАЖДАНСКОЙ ЗАЩИТЫ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""СЛУЖБА АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ И ГРАЖДАНСКОЙ ЗАЩИТЫ""";01.03.2019;11.03.2019;Определение поставщика завершено;;01.03.2019;11.03.2019;
44-ФЗ;№0372100001116000030;Электронный аукцион;Поставка специального пассажирского автомобиля.;;;;;844 840,00;RUB;;;;;29.10.59.390: Средства автотранспортные специального назначения прочие. не включенные в другие группировки;29.10.59.390: Средства автотранспортные специального назначения прочие. не включенные в другие группировки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОЗЕРНОГО И РЕЧНОГО РЫБНОГО ХОЗЯЙСТВА ИМ. Л.С. БЕРГА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОЗЕРНОГО И РЕЧНОГО РЫБНОГО ХОЗЯЙСТВА ИМ. Л.С. БЕРГА""";14.10.2016;28.10.2016;Определение поставщика завершено;;14.10.2016;24.10.2016;
44-ФЗ;№0187200001722001231;Электронный аукцион;Поставка судна;;'222861300751486130100100360033012244';;;540 000,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""БЕРЕЗОВСКИЙ ЛЕСХОЗ""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ;27.10.2022;07.11.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;27.10.2022;07.11.2022;
44-ФЗ;№0172200002523000160;Электронный аукцион;Поставка судна для государственных нужд Санкт-Петербурга в 2023 году ;;'232783844475178410100100610013012244';;;100 050 000,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ВНЕШНЕГО ТРАНСПОРТА""";КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;13.04.2023;13.04.2023;Подача заявок;;13.04.2023;04.05.2023;
223-ФЗ;№31503065378;Прочие;"Поставка судна для нужд Кубанского РВПиС-филиала ФБУ ""Администрация ""Волго-Дон""";;;1;"Поставка судна для нужд Кубанского РВПиС-филиала ФБУ ""Администрация ""Волго-Дон""";3 000 000,00;RUB;;;;;;;"Федеральное бюджетное учреждение ""Администрация Волго-Донского бассейна внутренних водных путей""";;09.12.2015;09.12.2015;Закупка завершена;;09.12.2015;16.12.2015;
44-ФЗ;№0302100026720000011;Электронный аукцион;Поставка судна для организации стационарных постов охраны в водной акватории озера Байкал;;'201030120052503010100100160023011244';;;8 370 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ БАРГУЗИНСКОГО ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА И ЗАБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ БАРГУЗИНСКОГО ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА И ЗАБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";04.06.2020;26.06.2020;Определение поставщика завершено;Участникам. заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;04.06.2020;25.06.2020;
44-ФЗ;№0302100026720000007;Электронный аукцион;Поставка судна для организации стационарных постов охраны в водной акватории озера Байкал;;'201030120052503010100100160013011244';;;8 370 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ БАРГУЗИНСКОГО ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА И ЗАБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ БАРГУЗИНСКОГО ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА И ЗАБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";21.05.2020;02.06.2020;Определение поставщика завершено;Участникам. заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;21.05.2020;01.06.2020;
44-ФЗ;№0138200003120000001;Электронный аукцион;Поставка судна на воздушной подушке;;'202410112433841010100100020013011412';;;20 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;03.02.2020;11.02.2020;Определение поставщика завершено;"Участникам. заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям";03.02.2020;11.02.2020;
44-ФЗ;№0332100003216000049;Электронный аукцион;Поставка судна на воздушной подушке;;;;;18 484 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ;Главное управление Министерства Российской Федерации по делам гражданской обороны. чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Нижегородской области;07.04.2016;29.04.2016;Определение поставщика завершено;;07.04.2016;25.04.2016;
44-ФЗ;№0319300010122000854;Электронный аукцион;Поставка судна на воздушной подушке;;'223245707126924570100102120013012244';;;14 119 000,00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА СПАСЕНИЯ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК""";25.11.2022;07.12.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;25.11.2022;05.12.2022;
44-ФЗ;№0184300000416000135;Электронный аукцион;Поставка судна на воздушной подушке;;;;;13133333.33;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ   УЧРЕЖДЕНИЕ ЗАПОЛЯРНОГО РАЙОНА ""СЕВЕРНОЕ""";"УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ИМУЩЕСТВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО РАЙОНА ""ЗАПОЛЯРНЫЙ РАЙОН""";30.11.2016;01.02.2017;Определение поставщика завершено;;30.11.2016;16.12.2016;
44-ФЗ;№0184300000415000166;Электронный аукцион;Поставка судна на воздушной подушке;;;;;13133333.33;RUB;;;;;;;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ   УЧРЕЖДЕНИЕ ЗАПОЛЯРНОГО РАЙОНА ""СЕВЕРНОЕ""";"Управление муниципального имущества Администрации муниципального района ""Заполярный район""";15.12.2015;18.01.2016;Определение поставщика завершено;;15.12.2015;11.01.2016;
